filename,entropy,npcr,uaci,correlation_h,correlation_v,correlation_d,correlation_mean
synthetic_000.png,7.997353969477315,99.62921142578125,33.56045,0.036019605,0.0014407566,-0.008681267,0.009593031
synthetic_001.png,7.997353969477315,99.62921142578125,33.56045,-0.031403348,-0.0053484547,-0.020057568,-0.018936457
synthetic_002.png,7.997353969477315,99.62921142578125,33.56045,0.0043493197,-0.0011753022,0.012802436,0.0053254846
synthetic_003.png,7.997353969477315,99.62921142578125,33.56045,-0.024903636,0.012089162,0.009869964,-0.0009815035
synthetic_004.png,7.997353969477315,99.62921142578125,33.56045,0.00069466996,-0.030511856,-0.02129784,-0.017038343
synthetic_005.png,7.997353969477315,99.62921142578125,33.56045,0.025031764,0.004061526,-0.032117773,-0.001008161
synthetic_006.png,7.997353969477315,99.62921142578125,33.56045,0.019869706,0.008321762,-0.011045879,0.0057151965
synthetic_007.png,7.997353969477315,99.62921142578125,33.56045,0.02547608,-0.012709389,-0.066019826,-0.017751046
synthetic_008.png,7.997353969477315,99.62921142578125,33.56045,0.007023574,-0.026711551,-0.010545477,-0.010077818
synthetic_009.png,7.997353969477315,99.62921142578125,33.56045,-0.007979168,0.049396824,0.029857615,0.023758424
synthetic_010.png,7.997353969477315,99.62921142578125,33.56045,0.0076280176,0.021294978,0.02288787,0.01727029
synthetic_011.png,7.997353969477315,99.62921142578125,33.56045,-0.020937476,-0.010112698,0.0004953871,-0.01018493
synthetic_012.png,7.997353969477315,99.62921142578125,33.56045,-0.029014116,-0.04835786,0.009079009,-0.022764323
synthetic_013.png,7.997353969477315,99.62921142578125,33.56045,0.011471835,-0.009711912,0.040895905,0.01421861
synthetic_014.png,7.997353969477315,99.62921142578125,33.56045,-0.019864365,-0.010611524,0.018972702,-0.0038343954
synthetic_015.png,7.997353969477315,99.62921142578125,33.56045,-0.017866781,-0.0020888061,-0.011002001,-0.010319196
synthetic_016.png,7.997353969477315,99.62921142578125,33.56045,-0.025516458,-0.027102102,0.005814437,-0.015601374
synthetic_017.png,7.997353969477315,99.62921142578125,33.56045,-4.1775078e-05,0.032663185,0.004528727,0.012383379
synthetic_018.png,7.997353969477315,99.62921142578125,33.56045,-0.0006411942,0.070065185,0.009382378,0.02626879
synthetic_019.png,7.997353969477315,99.62921142578125,33.56045,0.021943852,0.033560093,-0.00027059208,0.018411117
synthetic_020.png,7.997353969477315,99.62921142578125,33.56045,-0.054490753,0.0062915767,0.016123246,-0.010691977
synthetic_021.png,7.997353969477315,99.62921142578125,33.56045,0.014068705,-0.006779648,-0.030276991,-0.0076626446
synthetic_022.png,7.997353969477315,99.62921142578125,33.56045,-0.020742763,-0.01328938,-0.0033043807,-0.0124455085
synthetic_023.png,7.997353969477315,99.62921142578125,33.56045,0.039190605,0.008111886,-0.001741171,0.015187107
synthetic_024.png,7.997353969477315,99.62921142578125,33.56045,-0.005896772,-0.021000681,-0.006901756,-0.011266403
synthetic_025.png,7.997353969477315,99.62921142578125,33.56045,-0.041901037,-0.01059606,0.0047350153,-0.015920693
synthetic_026.png,7.997353969477315,99.62921142578125,33.56045,0.0069187772,0.0012143994,0.024678113,0.0109370975
synthetic_027.png,7.997353969477315,99.62921142578125,33.56045,0.030395143,-0.031522825,-0.008079964,-0.0030692155
synthetic_028.png,7.997353969477315,99.62921142578125,33.56045,-0.0009853641,-0.02938843,-0.0058503915,-0.0120747285
synthetic_029.png,7.997353969477315,99.62921142578125,33.56045,0.019530268,-0.010597932,0.027161345,0.012031227
